category, count
mistranslation-ppc, 8
ppc, 36
assembly-i386, 2
TCG-i386, 3
architecture-i386, 18
debug, 84
hypervisor, 39
mistranslation, 30
x86, 95
performance, 185
i386, 44
mistranslation-x86, 9
risc-v, 26
assembly-x86, 2
arm, 44
mistranslation-arm, 9
unknown, 155
semantic, 2
architecture-ppc, 10
user-level-i386, 6
assembly, 5
socket, 45
graphic, 587
assembly-risc-v, 1
mistranslation-i386, 7
KVM, 79
architecture-x86, 47
peripherals, 149
register-i386, 2
architecture-arm, 50
semantic-i386, 1
semantic-ppc, 4
TCG-arm, 5
register-ppc, 3
TCG-x86, 5
register-x86, 3
TCG-risc-v, 3
device, 533
virtual, 156
semantic-x86, 9
register-arm, 2
TCG-ppc, 4
semantic-arm, 5
review, 646
architecture, 26
user-level-risc-v, 3
TCG, 33
vnc, 36
PID, 9
user-level-ppc, 5
VMM, 7
network, 115
all, 659
user-level, 31
none, 1311
kernel, 83
boot, 46
user-level-arm, 4
permissions, 176
register-risc-v, 4
register, 9
files, 70
architecture-risc-v, 9
user-level-x86, 8
operating system, 3
mistranslation-risc-v, 10
